gh_project_name,team,lang,sloc,tests_per_kloc,build_success
github/developer.github.com,39,ruby,2528,0,0.5543478260869565
github/gemoji,9,ruby,238,8.40336134453782,0.8351648351648352
github/github-services,19,ruby,9036,76.321376690133,0.8997722095671982
github/hub,19,ruby,2962,25.2442996742671,0.8038243626062322
github/linguist,19,ruby,3987,45.1547437848808,0.8956158663883089
github/pages-gem,9,ruby,159,259.259259259259,0.8943364327979713
gitlabhq/gitlab-ci,11,ruby,2438,25.6286266924565,0.6731662024141133
gitlabhq/gitlab-ci-runner,14,ruby,455,0,0.8141592920353983
gjtorikian/html-proofer,6,ruby,1025,197.786998616874,0.7534533277521975
glebm/i18n-tasks,5,ruby,3702,190.47619047619,0.7990777338603425
glebm/rails_email_preview,6,ruby,719,28.6885245901639,0.6260102865540044
glejeune/Ruby-Graphviz,2,ruby,6807,6.14416304510715,0.6797385620915033
GlowstoneMC/Glowstone,21,java,32948,2.06913774035889,0.9580152671755725
gma/nesta,7,ruby,1205,195.921985815603,0.6197183098591549
go-lang-plugin-org/go-lang-idea-plugin,13,java,42801,17.6545449622269,0.8692922374429224
gocardless/hutch,12,ruby,1261,81.8181818181818,0.9538300104931794
gocardless/statesman,16,ruby,858,110.275689223058,0.8760820045558086
GoClipse/goclipse,2,java,53437,1.95899177223456,0.9047619047619048
gogotanaka/Rubype,5,ruby,122,137.5,0.6879699248120301
goodow/realtime-store,1,java,4398,7.89379260853965,0.5588235294117647
google/auto,10,java,8710,26.4194081036454,0.8553719008264463
google/bazel,37,java,151553,15.5598860740519,0.35507246376811596
google/closure-compiler,53,java,149372,1.75471946422566,0.9292929292929293
google/error-prone,16,java,38561,42.7634138118825,0.9571788413098237
google/google-api-ruby-client,10,ruby,183974,70.694087403599,0.8063876651982379
google/guava,9,java,103426,5.27143981117231,0.9788135593220338
google/guice,7,java,22536,2.26304579339723,0.8905367231638418
google/physical-web,18,java,6174,15.6378600823045,0.9716193656093489
google/signet,4,ruby,3030,117.096018735363,0.5918580375782881
google/truth,11,java,4045,230.060466455514,0.8328690807799443
GoogleCloudPlatform/DataflowJavaSDK,27,java,67091,39.6177888300318,0.9344790547798066
gradle/gradle,51,java,209562,12.1441907694323,0.9027370478983382
grails/grails-core,18,java,72481,0.396838519792321,0.6738938053097345
graphhopper/graphhopper,11,java,31890,23.9471511147812,0.9173716864072194
Graylog2/graylog2-server,15,java,71776,45.2807997647751,0.9165227403569373
gree/observed,3,ruby,1768,57.7105014191107,0.6928104575163399
greenrobot/greenDAO,4,java,7775,9.88113991121295,0.4892703862660944
gregorym/bump,4,ruby,192,322.916666666667,0.4447592067988669
